IB Offset,Index,Index + Base,Index: 0 Type: GL_FLOAT Size: 3 : Component 0,Index: 0 Type: GL_FLOAT Size: 3 : Component 1,Index: 0 Type: GL_FLOAT Size: 3 : Component 2,Index: 1 Type: GL_FLOAT Size: 2 : Component 0,Index: 1 Type: GL_FLOAT Size: 2 : Component 1
0,0,0,0.861,0.660,2.792,0.423,0.564
1,1,1,0.832,0.741,2.583,0.422,0.534
2,2,2,0.723,0.760,2.550,0.435,0.527
3,0,0,0.861,0.660,2.792,0.423,0.564
4,2,2,0.723,0.760,2.550,0.435,0.527
5,3,3,0.749,0.685,2.769,0.437,0.558
6,0,0,0.861,0.660,2.792,0.423,0.564
7,3,3,0.749,0.685,2.769,0.437,0.558
8,4,4,0.771,0.572,2.948,0.437,0.588
9,0,0,0.861,0.660,2.792,0.423,0.564
10,4,4,0.771,0.572,2.948,0.437,0.588
11,5,5,0.883,0.532,2.962,0.422,0.594
12,0,0,0.861,0.660,2.792,0.423,0.564
13,5,5,0.883,0.532,2.962,0.422,0.594
14,6,6,0.998,0.491,2.969,0.407,0.599
15,0,0,0.861,0.660,2.792,0.423,0.564
16,6,6,0.998,0.491,2.969,0.407,0.599
17,7,7,0.979,0.629,2.810,0.408,0.570
18,0,0,0.861,0.660,2.792,0.423,0.564
19,7,7,0.979,0.629,2.810,0.408,0.570
20,8,8,0.954,0.715,2.615,0.407,0.542
21,0,0,0.861,0.660,2.792,0.423,0.564
22,8,8,0.954,0.715,2.615,0.407,0.542
23,1,1,0.832,0.741,2.583,0.422,0.534
24,330,330,0.813,0.777,2.358,0.418,0.504
25,2,2,0.723,0.760,2.550,0.435,0.527
26,1,1,0.832,0.741,2.583,0.422,0.534
27,330,330,0.813,0.777,2.358,0.418,0.504
28,1,1,0.832,0.741,2.583,0.422,0.534
29,8,8,0.954,0.715,2.615,0.407,0.542
30,81,81,1.119,0.581,2.832,0.390,0.578
31,82,82,1.105,0.665,2.655,0.388,0.552
32,8,8,0.954,0.715,2.615,0.407,0.542
33,81,81,1.119,0.581,2.832,0.390,0.578
34,8,8,0.954,0.715,2.615,0.407,0.542
35,7,7,0.979,0.629,2.810,0.408,0.570
36,325,325,1.100,0.699,2.457,0.384,0.526
37,326,326,0.939,0.749,2.404,0.403,0.514
38,8,8,0.954,0.715,2.615,0.407,0.542
39,325,325,1.100,0.699,2.457,0.384,0.526
40,8,8,0.954,0.715,2.615,0.407,0.542
41,82,82,1.105,0.665,2.655,0.388,0.552
42,330,330,0.813,0.777,2.358,0.418,0.504
43,8,8,0.954,0.715,2.615,0.407,0.542
44,326,326,0.939,0.749,2.404,0.403,0.514
45,81,81,1.119,0.581,2.832,0.390,0.578
